show_id,type,release_year,genres,director,cast
s323,Movie,2020,"Arts, Entertainment, and Culture, Comedy, Special Interest",Jonathan Miller,TJ
s325,Movie,2012,Documentary,Tim Bell,Tony Caprari
s326,Movie,2013,Kids,Fro Rojas,Joey Dedio
s328,TV Show,2019,"Drama, Suspense",,Tim Roth
s331,TV Show,2020,"Comedy, International",,Bharath Niwas
s332,TV Show,2020,"Comedy, International",,Bharath Niwas
s334,Movie,1936,Western,Sam Newfield,Kermit Maynard
s335,Movie,1944,"Action, Drama, Western",Frank McDonald,Richard Arlen
s337,Movie,2003,"Drama, Suspense",Michael Petroni,Guy Pearce
s339,Movie,2017,"Action, Drama, International",Ali Abbas Zafar,Salman Khan
s340,Movie,1936,"Drama, Suspense",Aubrey Scotto,Roger Pryor
s341,Movie,2001,"Action, Adventure, Suspense",Albert Pyun,Tom Sizemore
s342,Movie,2000,"Action, Drama, Suspense",Kevin Tenney,Megan Ward
s344,TV Show,2018,Kids,,Rasmus Hardiker
s347,Movie,1967,Action,Richard Rush,Fabian
s348,Movie,2018,"Action, Drama, International",Vijay Krishna Acharya,Amitabh Bachchan
s349,Movie,2019,Action,Rajesh Mohanan Nair,Jayasurya
s350,TV Show,2012,Comedy,,Amy Huberman
s351,Movie,1995,"Adventure, Fantasy",Martha Coolidge,Patrick Swayze
s352,Movie,1951,Comedy,Charles Walters,Jane Wyman
s353,Movie,1932,Drama,Robert Florey,Mary Astor
s354,Movie,1974,"Action, Romance, Western",Gordon Parks Jr.,Max Julien
s355,Movie,2021,"Documentary, Talk Show and Variety",Kyle Clark,Jason Riley
s361,TV Show,2003,Kids,,Michael Brandon
s363,TV Show,2019,"Documentary, Sports, Unscripted",,Pep Guardiola
s364,TV Show,2019,"Documentary, Special Interest",,Kal Penn
s365,Movie,2019,"Documentary, Special Interest",Lance Mungia,Russell Targ
s366,Movie,2020,"Comedy, Kids",Gil Junger,Gabriel Bateman
s367,Movie,2020,"Comedy, Kids",Gil Junger,Gabriel Bateman
s368,Movie,2007,Drama,Susanna Bier,Halle Berry
