,show_id,type,director,release_year,duration,rating,genre
426,s502,Movie,,2020,58.0,G,Animation
427,s504,TV Show,,2003,2.0,TV-14,Comedy
428,s505,Movie,Gene Saks,1968,105.0,G,Comedy
429,s506,Movie,Jerry Lewis,1963,107.0,G,Comedy
430,s507,TV Show,,2013,1.0,7+,Documentary
431,s508,TV Show,,2015,1.0,G,Animation
432,s509,Movie,Lewis Milestone,1943,106.0,13+,Drama
433,s510,TV Show,,2016,1.0,18+,Action
434,s511,Movie,"Matt Jones, Dave Hill",2016,89.0,18+,Comedy
435,s512,Movie,Christian Sesma,2016,93.0,18+,Action
436,s513,Movie,Diane Paloma Eskenazi,2016,49.0,G,Animation
437,s514,TV Show,,2016,1.0,13+,Comedy
438,s515,TV Show,,2017,5.0,TV-G,Drama
439,s516,TV Show,,2016,1.0,TV-MA,Documentary
440,s517,TV Show,,2017,1.0,16+,Comedy
441,s518,Movie,Edward A. Kull,1935,58.0,NR,Action
442,s519,TV Show,,2016,2.0,NR,Drama
443,s520,TV Show,,2016,1.0,NR,Drama
444,s521,Movie,Mark Lewis,2001,55.0,13+,Documentary
445,s522,TV Show,,2010,1.0,TV-PG,TV Shows
446,s523,Movie,Bart Freundlich,1997,91.0,R,Comedy
447,s524,Movie,Anna Sofaer,1999,56.0,16+,Documentary
448,s526,TV Show,,2016,3.0,TV-14,Action
449,s527,TV Show,,2017,1.0,TV-14,TV Shows
450,s529,Movie,Seth Breedlove,2020,77.0,13+,Documentary
451,s530,TV Show,,2016,1.0,TV-PG,Drama
452,s531,Movie,Fred Dekker,1987,82.0,PG-13,Action
453,s532,Movie,Chris Cofer,2020,106.0,13+,Documentary
454,s533,Movie,Brett Simmons,2013,88.0,16+,Horror
455,s534,Movie,"Manuel Sicilia, Raul Garcia",2012,102.0,PG,Action
456,s535,Movie,Albert Herman,1945,78.0,13+,Comedy
457,s536,TV Show,,2017,2.0,TV-14,TV Shows
458,s537,Movie,"Stanislav Sokolov, Derek W. Hayes",2000,87.0,G,Animation
459,s539,TV Show,,2014,2.0,13+,Drama
