show_id,type,title,director,release_year,rating,duration,listed_in,duration_int
s4516,Movie,ICEBERG,Dominique Abel Fiona Gordon Bruno Romy,2005,PG-13,84 min,"Comedy, International",84
s4517,Movie,I LOVE YOU TOO,Ruud van Hemert,2001,R,92 min,International,92
s4518,Movie,DON'T FORGET YOU'RE GOING TO DIE,Xavier Beauvois,1995,R,117 min,Drama,117
s4519,Movie,DIARY OF A CHAMBERMAID,Luis Bunuel,1964,PG,97 min,International,97
s4520,Movie,CLIMAX,K Bhavani Shanker,2021,13+,77 min,"Comedy, Drama",77
s4521,Movie,BURNT OUT,Fabienne Godet,2005,PG-13,87 min,"Drama, International",87
s4522,Movie,Blame it On Fidel,Julie Gavras,2007,PG-13,99 min,Drama,99
s4523,Movie,ALL FIRED UP,Jean-Paul Rappeneau,1982,PG-13,103 min,International,103
s4525,Movie,A NIGHT IN VERSAILLES,Bruno Podalydes,1992,PG-13,45 min,"Comedy, International",45
s4526,Movie,Tru Love,"Shauna MacDonald, Kate Johnston",2014,16+,88 min,"Arthouse, LGBTQ, Romance",88
s4527,Movie,The Bid,"Richard Harris, Maurquis Boone",2021,18+,90 min,Comedy,90
s4528,Movie,Tabù,F.W. Murnau,1930,13+,78 min,Romance,78
s4529,Movie,Revisitant,Jon Binkowski,2021,16+,100 min,Horror,100
s4530,Movie,Remember Pearl Harbor,Tim Gray,2016,18+,82 min,Documentary,82
s4531,Movie,Red Ribbon Blues (Restored),Charles Winkler,1996,18+,98 min,"Comedy, Drama, LGBTQ",98
s4532,Movie,Raasi,Muraliappas,1997,G,143 min,"Drama, Romance",143
s4534,Movie,My Month with Mrs Potter,Christopher Norton,2019,13+,88 min,Drama,88
s4536,Movie,Kylie Minogue: Showtime,Billy Simpson,2016,7+,61 min,Documentary,61
s4537,Movie,Error In Judgement,Scott P. Levy,1999,18+,93 min,Suspense,93
s4538,Movie,Cut the Rope: Om Nom Stories - Holiday Specials,Zeptolab,2021,G,48 min,"Animation, Kids",48
s4539,Movie,Address Unknown,Shawn Levy,1997,PG,83 min,"Action, Drama, Suspense",83
s4540,Movie,10.0 Earthquake,David Gidali,2014,16+,87 min,Science Fiction,87
s4541,Movie,Wonder Boy for President,John Barker,2016,18+,87 min,Drama,87
s4542,Movie,What If,Michael Dowse,2014,PG-13,98 min,"Comedy, Drama",98
s4543,Movie,Urvi,B.S.Pradeep Varma,2017,18+,122 min,"Drama, Suspense",122
s4544,Movie,Uncle P,Bernard Gourley,2007,PG,88 min,Comedy,88
s4546,Movie,Tranquillo,Jonathan Jäggi,2018,16+,70 min,Drama,70
s4547,TV Show,The Sword and The Brocade,,2021,13+,1 Season,Drama,1
s4548,Movie,The Statement,Norman Jewison,2003,R,119 min,"Drama, Suspense",119
s4549,Movie,The Odds,Bob Giordano,2018,18+,107 min,"Horror, Suspense",107
s4550,Movie,The King's Guard,Jonathan Tydor,2000,13+,92 min,Action,92
s4551,Movie,The Hornet's Nest,"Christian Tureaud, David Salzberg",2014,R,97 min,Documentary,97
s4552,Movie,The Heroin King of Baltimore,Derick Prince,2013,18+,57 min,Documentary,57
s4554,Movie,The Brotherhood,Allan Northern,2019,13+,83 min,"Action, Drama, Science Fiction",83
s4555,Movie,Steve Lemme & Kevin Heffernan: The Potential Farewell Tour,"Brian Volk-Weiss, Samuel Brownfield",2018,18+,70 min,"Arts, Entertainment, and Culture, Comedy, Special Interest",70
s4556,Movie,Spread,David Mackenzie,2009,R,97 min,Comedy,97
s4558,Movie,Roberrt (4K UHD),Tarun Sudhir,2021,NR,165 min,Action,165
s4559,Movie,Roberrt,Tarun Sudhir,2021,NR,165 min,Action,165
s4560,TV Show,Ro Raha Hai Dil,,2018,13+,1 Season,"Drama, Romance",1
s4561,Movie,Ring Of Darkness,David DeCoteau,2006,R,85 min,Horror,85
s4562,Movie,Reversion,Christopher R. Miles,2020,16+,99 min,"Action, Drama, Suspense",99
s4564,Movie,Ramanaa,A. R. Murugadoss,2002,G,171 min,"Action, Drama",171
s4565,Movie,Raja Hindustani,Dharmesh Darshan,1996,13+,170 min,"Drama, Romance",170
s4566,Movie,Raccoon Valley,Turner Clay,2018,13+,66 min,"Drama, Horror, Suspense",66
s4567,Movie,Pinkfong! If Sharks Are Happy,Pinkfong,2020,G,58 min,"Animation, Kids",58
s4568,Movie,Phenix,Nicolas Moneuse,2020,16+,91 min,Drama,91
s4569,Movie,Office Air,Elena Altman,2020,16+,40 min,"Comedy, Suspense",40
s4570,TV Show,Ni Chang,,2021,18+,1 Season,"Comedy, Drama, Romance",1
s4571,Movie,Naz & Maalik,Jay Dockendorf,2016,18+,85 min,"Arthouse, LGBTQ, Romance",85
s4572,Movie,Most Wanted,Daniel Roby,2020,R,125 min,"Action, Adventure, Drama",125
